 [1359]: -14.0, Avg: -9.00, Max: 2.0, Best_avg: -7.56
 [1369]: -12.0, Avg: -8.56, Max: 2.0, Best_avg: -7.56
 [1379]: -12.0, Avg: -10.56, Max: 2.0, Best_avg: -7.56
 [1389]: -9.0, Avg: -10.11, Max: 2.0, Best_avg: -7.56
 [1399]: -16.0, Avg: -8.78, Max: 2.0, Best_avg: -7.56
 [1409]: -10.0, Avg: -12.00, Max: 2.0, Best_avg: -7.56
 [1419]: -12.0, Avg: -7.78, Max: 2.0, Best_avg: -7.56
 [1429]: -13.0, Avg: -10.33, Max: 2.0, Best_avg: -7.56
 [1439]: -8.0, Avg: -7.56, Max: 2.0, Best_avg: -7.56
 [1449]: -6.0, Avg: -9.78, Max: 2.0, Best_avg: -7.56
 [1459]: -10.0, Avg: -9.78, Max: 2.0, Best_avg: -7.56
 [1469]: -7.0, Avg: -9.56, Max: 2.0, Best_avg: -7.56
 [1479]: -14.0, Avg: -7.11, Max: 2.0, Best_avg: -7.11
 [1489]: -12.0, Avg: -10.00, Max: 2.0, Best_avg: -7.11
 [1499]: -5.0, Avg: -6.56, Max: 2.0, Best_avg: -6.56
 [1509]: -5.0, Avg: -8.44, Max: 2.0, Best_avg: -6.56
 [1519]: -9.0, Avg: -8.33, Max: 2.0, Best_avg: -6.56
 [1529]: -13.0, Avg: -8.11, Max: 2.0, Best_avg: -6.56
 [1539]: -6.0, Avg: -9.78, Max: 2.0, Best_avg: -6.56
 [1549]: -10.0, Avg: -6.44, Max: 2.0, Best_avg: -6.44
 [1559]: -5.0, Avg: -8.67, Max: 2.0, Best_avg: -6.44
 [1569]: -6.0, Avg: -8.00, Max: 2.0, Best_avg: -6.44
 [1579]: -15.0, Avg: -7.56, Max: 2.0, Best_avg: -6.44
 [1589]: -10.0, Avg: -5.67, Max: 2.0, Best_avg: -5.67
 [1599]: -6.0, Avg: -6.67, Max: 3.0, Best_avg: -5.67
 [1609]: 2.0, Avg: -7.33, Max: 3.0, Best_avg: -5.67
 [1619]: -7.0, Avg: -8.11, Max: 3.0, Best_avg: -5.67
 [1629]: -11.0, Avg: -7.22, Max: 3.0, Best_avg: -5.67
 [1639]: -9.0, Avg: -7.33, Max: 3.0, Best_avg: -5.67
 [1649]: -6.0, Avg: -8.44, Max: 3.0, Best_avg: -5.67
 [1659]: -6.0, Avg: -6.44, Max: 3.0, Best_avg: -5.67
 [1669]: -6.0, Avg: -6.11, Max: 3.0, Best_avg: -5.67
 [1679]: -7.0, Avg: -7.22, Max: 3.0, Best_avg: -5.67
 [1689]: -2.0, Avg: -6.67, Max: 3.0, Best_avg: -5.67
 [1699]: -14.0, Avg: -8.22, Max: 3.0, Best_avg: -5.67
 [1709]: -7.0, Avg: -8.56, Max: 3.0, Best_avg: -5.67
 [1719]: -2.0, Avg: -8.11, Max: 3.0, Best_avg: -5.67
 [1729]: -7.0, Avg: -6.11, Max: 3.0, Best_avg: -5.67
 [1739]: -11.0, Avg: -7.78, Max: 3.0, Best_avg: -5.67
 [1749]: -11.0, Avg: -4.89, Max: 9.0, Best_avg: -4.89
 [1759]: -5.0, Avg: -9.22, Max: 9.0, Best_avg: -4.89
 [1769]: -11.0, Avg: -6.56, Max: 9.0, Best_avg: -4.89
 [1779]: -5.0, Avg: -8.11, Max: 9.0, Best_avg: -4.89
 [1789]: -13.0, Avg: -7.89, Max: 9.0, Best_avg: -4.89
 [1799]: -13.0, Avg: -8.89, Max: 9.0, Best_avg: -4.89
 [1809]: -10.0, Avg: -8.33, Max: 9.0, Best_avg: -4.89
 [1819]: -10.0, Avg: -6.78, Max: 9.0, Best_avg: -4.89
 [1829]: -3.0, Avg: -6.78, Max: 9.0, Best_avg: -4.89
 [1839]: -7.0, Avg: -7.44, Max: 9.0, Best_avg: -4.89
 [1849]: 2.0, Avg: -6.22, Max: 9.0, Best_avg: -4.89
 [1859]: -5.0, Avg: -6.11, Max: 9.0, Best_avg: -4.89
 [1869]: -8.0, Avg: -7.67, Max: 9.0, Best_avg: -4.89
 [1879]: -6.0, Avg: -8.22, Max: 9.0, Best_avg: -4.89
 [1889]: -11.0, Avg: -6.89, Max: 9.0, Best_avg: -4.89
 [1899]: -8.0, Avg: -5.44, Max: 9.0, Best_avg: -4.89
 [1909]: -11.0, Avg: -4.89, Max: 9.0, Best_avg: -4.89
 [1919]: -8.0, Avg: -3.67, Max: 9.0, Best_avg: -3.67
 [1929]: 1.0, Avg: -4.89, Max: 9.0, Best_avg: -3.67
 [1939]: -4.0, Avg: -7.89, Max: 9.0, Best_avg: -3.67
 [1949]: -12.0, Avg: -5.44, Max: 9.0, Best_avg: -3.67
 [1959]: -9.0, Avg: -5.56, Max: 9.0, Best_avg: -3.67
 [1969]: -5.0, Avg: -7.67, Max: 9.0, Best_avg: -3.67
 [1979]: -3.0, Avg: -7.00, Max: 9.0, Best_avg: -3.67
 [1989]: -8.0, Avg: -6.33, Max: 9.0, Best_avg: -3.67
 [1999]: 2.0, Avg: -8.67, Max: 9.0, Best_avg: -3.67
 [2009]: -8.0, Avg: -4.22, Max: 9.0, Best_avg: -3.67
 [2019]: -7.0, Avg: -4.11, Max: 9.0, Best_avg: -3.67
 [2029]: -7.0, Avg: -5.11, Max: 9.0, Best_avg: -3.67
 [2039]: -2.0, Avg: -4.67, Max: 9.0, Best_avg: -3.67
 [2049]: -1.0, Avg: -4.78, Max: 9.0, Best_avg: -3.67
 [2059]: -3.0, Avg: -3.33, Max: 9.0, Best_avg: -3.33
 [2069]: -9.0, Avg: -5.22, Max: 9.0, Best_avg: -3.33
 [2079]: -6.0, Avg: -6.44, Max: 9.0, Best_avg: -3.33
 [2089]: 3.0, Avg: -4.67, Max: 9.0, Best_avg: -3.33
 [2099]: -9.0, Avg: -7.89, Max: 9.0, Best_avg: -3.33
 [2109]: -9.0, Avg: -7.56, Max: 9.0, Best_avg: -3.33
 [2119]: -3.0, Avg: -6.78, Max: 9.0, Best_avg: -3.33
 [2129]: -7.0, Avg: -5.11, Max: 9.0, Best_avg: -3.33
 [2139]: 8.0, Avg: -7.00, Max: 9.0, Best_avg: -3.33
 [2149]: 6.0, Avg: -10.11, Max: 9.0, Best_avg: -3.33
 [2159]: -2.0, Avg: -9.00, Max: 9.0, Best_avg: -3.33
 [2169]: -9.0, Avg: -6.89, Max: 9.0, Best_avg: -3.33
 [2179]: 5.0, Avg: -5.22, Max: 9.0, Best_avg: -3.33
 [2189]: -3.0, Avg: -4.22, Max: 9.0, Best_avg: -3.33
 [2199]: 3.0, Avg: -3.22, Max: 9.0, Best_avg: -3.22
 [2209]: -5.0, Avg: -6.00, Max: 9.0, Best_avg: -3.22
 [2219]: -12.0, Avg: -5.56, Max: 9.0, Best_avg: -3.22
 [2229]: 4.0, Avg: -6.56, Max: 9.0, Best_avg: -3.22
 [2239]: -1.0, Avg: -3.67, Max: 9.0, Best_avg: -3.22
 [2249]: -3.0, Avg: -5.44, Max: 9.0, Best_avg: -3.22
 [2259]: -6.0, Avg: -2.33, Max: 9.0, Best_avg: -2.33
 [2269]: 1.0, Avg: -4.00, Max: 9.0, Best_avg: -2.33
 [2279]: -7.0, Avg: -8.33, Max: 9.0, Best_avg: -2.33
 [2289]: -6.0, Avg: -5.00, Max: 9.0, Best_avg: -2.33
 [2299]: -7.0, Avg: -7.22, Max: 9.0, Best_avg: -2.33
 [2309]: -11.0, Avg: -6.33, Max: 9.0, Best_avg: -2.33
 [2319]: -11.0, Avg: -4.67, Max: 9.0, Best_avg: -2.33
 [2329]: -14.0, Avg: -6.44, Max: 9.0, Best_avg: -2.33
 [2339]: -3.0, Avg: -3.33, Max: 9.0, Best_avg: -2.33
 [2349]: -2.0, Avg: -5.56, Max: 9.0, Best_avg: -2.33
 [2359]: 2.0, Avg: -6.33, Max: 9.0, Best_avg: -2.33
 [2369]: -8.0, Avg: -3.11, Max: 9.0, Best_avg: -2.33
 [2379]: -4.0, Avg: -4.56, Max: 9.0, Best_avg: -2.33
 [2389]: -14.0, Avg: -4.33, Max: 9.0, Best_avg: -2.33
 [2399]: -7.0, Avg: -5.33, Max: 9.0, Best_avg: -2.33
 [2409]: 3.0, Avg: -2.22, Max: 9.0, Best_avg: -2.22
 [2419]: -9.0, Avg: -6.11, Max: 9.0, Best_avg: -2.22
 [2429]: -10.0, Avg: -7.56, Max: 9.0, Best_avg: -2.22
 [2439]: -5.0, Avg: -3.56, Max: 9.0, Best_avg: -2.22
 [2449]: -5.0, Avg: -5.89, Max: 9.0, Best_avg: -2.22
 [2459]: -4.0, Avg: -5.33, Max: 9.0, Best_avg: -2.22
 [2469]: -1.0, Avg: -5.44, Max: 9.0, Best_avg: -2.22
 [2479]: -2.0, Avg: -6.22, Max: 9.0, Best_avg: -2.22
 [2489]: -7.0, Avg: -4.33, Max: 9.0, Best_avg: -2.22
 [2499]: -11.0, Avg: -2.33, Max: 9.0, Best_avg: -2.22
 [2509]: -2.0, Avg: -5.11, Max: 9.0, Best_avg: -2.22
 [2519]: -12.0, Avg: -4.22, Max: 9.0, Best_avg: -2.22
 [2529]: -7.0, Avg: -5.33, Max: 9.0, Best_avg: -2.22
 [2539]: 2.0, Avg: -3.00, Max: 9.0, Best_avg: -2.22
 [2549]: 4.0, Avg: -8.11, Max: 9.0, Best_avg: -2.22
 [2559]: 1.0, Avg: -3.00, Max: 9.0, Best_avg: -2.22
 [2569]: -5.0, Avg: -3.78, Max: 9.0, Best_avg: -2.22
 [2579]: 2.0, Avg: -4.89, Max: 9.0, Best_avg: -2.22
 [2589]: 3.0, Avg: -7.56, Max: 9.0, Best_avg: -2.22
 [2599]: -3.0, Avg: -7.22, Max: 9.0, Best_avg: -2.22
 [2609]: -10.0, Avg: -4.56, Max: 9.0, Best_avg: -2.22
 [2619]: -3.0, Avg: -7.67, Max: 9.0, Best_avg: -2.22
 [2629]: -9.0, Avg: -3.44, Max: 9.0, Best_avg: -2.22
 [2639]: 3.0, Avg: -9.56, Max: 9.0, Best_avg: -2.22
 [2649]: -1.0, Avg: -4.00, Max: 9.0, Best_avg: -2.22
 [2659]: -6.0, Avg: -5.78, Max: 9.0, Best_avg: -2.22
 [2669]: -6.0, Avg: -1.67, Max: 9.0, Best_avg: -1.67
 [2679]: -7.0, Avg: -2.33, Max: 9.0, Best_avg: -1.67
 [2689]: -7.0, Avg: -5.33, Max: 9.0, Best_avg: -1.67
 [2699]: -5.0, Avg: -4.67, Max: 9.0, Best_avg: -1.67
 [2709]: 2.0, Avg: -2.22, Max: 9.0, Best_avg: -1.67
 [2719]: 3.0, Avg: -7.22, Max: 9.0, Best_avg: -1.67
 [2729]: 5.0, Avg: -4.56, Max: 9.0, Best_avg: -1.67
 [2739]: 5.0, Avg: -5.89, Max: 9.0, Best_avg: -1.67
 [2749]: 1.0, Avg: -5.78, Max: 9.0, Best_avg: -1.67
 [2759]: -6.0, Avg: -5.00, Max: 9.0, Best_avg: -1.67
 [2769]: -7.0, Avg: -4.56, Max: 9.0, Best_avg: -1.67
 [2779]: 4.0, Avg: -7.00, Max: 9.0, Best_avg: -1.67
 [2789]: -6.0, Avg: -4.44, Max: 9.0, Best_avg: -1.67
 [2799]: 3.0, Avg: -5.67, Max: 9.0, Best_avg: -1.67
 [2809]: -8.0, Avg: -2.22, Max: 9.0, Best_avg: -1.67
 [2819]: -1.0, Avg: -4.44, Max: 9.0, Best_avg: -1.67
 [2829]: -8.0, Avg: -4.78, Max: 9.0, Best_avg: -1.67
 [2839]: -7.0, Avg: -3.78, Max: 9.0, Best_avg: -1.67
 [2849]: -6.0, Avg: -4.89, Max: 9.0, Best_avg: -1.67
 [2859]: 4.0, Avg: -4.89, Max: 9.0, Best_avg: -1.67
 [2869]: -9.0, Avg: -5.44, Max: 9.0, Best_avg: -1.67
 [2879]: -6.0, Avg: -5.11, Max: 9.0, Best_avg: -1.67
 [2889]: -3.0, Avg: -6.00, Max: 9.0, Best_avg: -1.67
 [2899]: -6.0, Avg: -3.78, Max: 9.0, Best_avg: -1.67
 [2909]: -5.0, Avg: -4.78, Max: 9.0, Best_avg: -1.67
 [2919]: -6.0, Avg: -4.44, Max: 9.0, Best_avg: -1.67
 [2929]: -5.0, Avg: -4.78, Max: 9.0, Best_avg: -1.67
 [2939]: 5.0, Avg: -3.56, Max: 9.0, Best_avg: -1.67
 [2949]: 1.0, Avg: -2.78, Max: 9.0, Best_avg: -1.67
 [2959]: 2.0, Avg: -4.33, Max: 9.0, Best_avg: -1.67
 [2969]: -10.0, Avg: -5.56, Max: 9.0, Best_avg: -1.67
 [2979]: 3.0, Avg: -4.44, Max: 9.0, Best_avg: -1.67
 [2989]: -7.0, Avg: -5.11, Max: 9.0, Best_avg: -1.67
 [2999]: 2.0, Avg: -4.67, Max: 9.0, Best_avg: -1.67
 [3009]: -7.0, Avg: -0.78, Max: 9.0, Best_avg: -0.78
 [3019]: -4.0, Avg: -4.89, Max: 12.0, Best_avg: -0.78
 [3029]: -5.0, Avg: -6.11, Max: 12.0, Best_avg: -0.78
 [3039]: 4.0, Avg: -4.22, Max: 12.0, Best_avg: -0.78
 [3049]: 5.0, Avg: -4.44, Max: 12.0, Best_avg: -0.78
 [3059]: 8.0, Avg: -2.33, Max: 12.0, Best_avg: -0.78
 [3069]: -5.0, Avg: -2.44, Max: 12.0, Best_avg: -0.78
 [3079]: -2.0, Avg: -3.78, Max: 12.0, Best_avg: -0.78
 [3089]: 2.0, Avg: -4.89, Max: 12.0, Best_avg: -0.78
 [3099]: -5.0, Avg: -5.22, Max: 12.0, Best_avg: -0.78
 [3109]: -7.0, Avg: -4.44, Max: 12.0, Best_avg: -0.78
 [3119]: -4.0, Avg: -3.89, Max: 12.0, Best_avg: -0.78
 [3129]: -4.0, Avg: -5.00, Max: 12.0, Best_avg: -0.78
 [3139]: -4.0, Avg: -2.78, Max: 12.0, Best_avg: -0.78
 [3149]: -7.0, Avg: -3.78, Max: 12.0, Best_avg: -0.78
 [3159]: -12.0, Avg: -1.11, Max: 12.0, Best_avg: -0.78
 [3169]: -5.0, Avg: -1.22, Max: 12.0, Best_avg: -0.78
 [3179]: -10.0, Avg: -4.89, Max: 12.0, Best_avg: -0.78
 [3189]: 2.0, Avg: -0.89, Max: 12.0, Best_avg: -0.78
 [3199]: -1.0, Avg: -2.78, Max: 12.0, Best_avg: -0.78
 [3209]: -11.0, Avg: -3.22, Max: 12.0, Best_avg: -0.78
 [3219]: -11.0, Avg: -2.56, Max: 12.0, Best_avg: -0.78
 [3229]: -13.0, Avg: -6.00, Max: 12.0, Best_avg: -0.78
 [3239]: -1.0, Avg: -5.78, Max: 12.0, Best_avg: -0.78
 [3249]: -13.0, Avg: -3.56, Max: 12.0, Best_avg: -0.78
 [3259]: -14.0, Avg: -1.78, Max: 12.0, Best_avg: -0.78
 [3269]: -10.0, Avg: -4.11, Max: 12.0, Best_avg: -0.78
 [3279]: -9.0, Avg: -7.33, Max: 12.0, Best_avg: -0.78
 [3289]: -11.0, Avg: -1.11, Max: 12.0, Best_avg: -0.78
 [3299]: -4.0, Avg: -7.00, Max: 12.0, Best_avg: -0.78
 [3309]: -1.0, Avg: -6.00, Max: 12.0, Best_avg: -0.78
 [3319]: -4.0, Avg: -5.00, Max: 12.0, Best_avg: -0.78
 [3329]: -4.0, Avg: -6.11, Max: 12.0, Best_avg: -0.78
 [3339]: -1.0, Avg: -7.33, Max: 12.0, Best_avg: -0.78
 [3349]: 2.0, Avg: -6.78, Max: 12.0, Best_avg: -0.78
 [3359]: 4.0, Avg: -6.44, Max: 12.0, Best_avg: -0.78
 [3369]: -1.0, Avg: -6.11, Max: 12.0, Best_avg: -0.78
 [3379]: -12.0, Avg: -5.33, Max: 12.0, Best_avg: -0.78
 [3389]: 5.0, Avg: -6.78, Max: 12.0, Best_avg: -0.78
 [3399]: -6.0, Avg: -4.33, Max: 12.0, Best_avg: -0.78
 [3409]: -8.0, Avg: -3.89, Max: 12.0, Best_avg: -0.78
 [3419]: -3.0, Avg: -4.22, Max: 12.0, Best_avg: -0.78
 [3429]: -8.0, Avg: -6.78, Max: 12.0, Best_avg: -0.78
 [3439]: -2.0, Avg: -2.00, Max: 12.0, Best_avg: -0.78
 [3449]: 2.0, Avg: 0.33, Max: 12.0, Best_avg: 0.33
 [3459]: -4.0, Avg: -5.89, Max: 12.0, Best_avg: 0.33
 [3469]: -4.0, Avg: -2.56, Max: 12.0, Best_avg: 0.33
 [3479]: -5.0, Avg: -4.44, Max: 12.0, Best_avg: 0.33
 [3489]: -3.0, Avg: -5.56, Max: 12.0, Best_avg: 0.33
 [3499]: -5.0, Avg: -4.11, Max: 12.0, Best_avg: 0.33
 [3509]: -3.0, Avg: -5.78, Max: 12.0, Best_avg: 0.33
 [3519]: -4.0, Avg: -4.11, Max: 12.0, Best_avg: 0.33
 [3529]: -13.0, Avg: -3.22, Max: 12.0, Best_avg: 0.33
 [3539]: -1.0, Avg: -4.11, Max: 12.0, Best_avg: 0.33
 [3549]: -4.0, Avg: -5.33, Max: 12.0, Best_avg: 0.33
 [3559]: -5.0, Avg: -2.11, Max: 12.0, Best_avg: 0.33
 [3569]: -4.0, Avg: -3.67, Max: 12.0, Best_avg: 0.33
 [3579]: 5.0, Avg: -3.22, Max: 12.0, Best_avg: 0.33
 [3589]: -12.0, Avg: -0.89, Max: 12.0, Best_avg: 0.33
 [3599]: -9.0, Avg: -5.22, Max: 12.0, Best_avg: 0.33
 [3609]: 2.0, Avg: -5.00, Max: 12.0, Best_avg: 0.33
