 [939]: -5.0, Avg: -8.44, Max: -3.0, Best_avg: -8.44
 [949]: -5.0, Avg: -10.56, Max: -1.0, Best_avg: -8.44
 [959]: -15.0, Avg: -12.00, Max: -1.0, Best_avg: -8.44
 [969]: -16.0, Avg: -12.00, Max: -1.0, Best_avg: -8.44
 [979]: -8.0, Avg: -8.11, Max: -1.0, Best_avg: -8.11
 [989]: -6.0, Avg: -7.89, Max: 3.0, Best_avg: -7.89
 [999]: -8.0, Avg: -6.89, Max: 3.0, Best_avg: -6.89
 [1009]: -15.0, Avg: -6.44, Max: 3.0, Best_avg: -6.44
 [1019]: -3.0, Avg: -7.78, Max: 3.0, Best_avg: -6.44
 [1029]: -11.0, Avg: -5.33, Max: 3.0, Best_avg: -5.33
 [1039]: -13.0, Avg: -5.11, Max: 3.0, Best_avg: -5.11
 [1049]: -11.0, Avg: -7.44, Max: 3.0, Best_avg: -5.11
 [1059]: -12.0, Avg: -5.67, Max: 3.0, Best_avg: -5.11
 [1069]: 3.0, Avg: -7.33, Max: 3.0, Best_avg: -5.11
 [1079]: -12.0, Avg: -5.11, Max: 6.0, Best_avg: -5.11
 [1089]: -8.0, Avg: -6.44, Max: 6.0, Best_avg: -5.11
 [1099]: -5.0, Avg: -4.11, Max: 12.0, Best_avg: -4.11
 [1109]: -2.0, Avg: -7.67, Max: 12.0, Best_avg: -4.11
 [1119]: -2.0, Avg: -6.00, Max: 12.0, Best_avg: -4.11
 [1129]: -17.0, Avg: -4.89, Max: 12.0, Best_avg: -4.11
 [1139]: -3.0, Avg: -4.67, Max: 12.0, Best_avg: -4.11
 [1149]: 13.0, Avg: -8.67, Max: 13.0, Best_avg: -4.11
 [1159]: -2.0, Avg: -6.89, Max: 13.0, Best_avg: -4.11
 [1169]: -7.0, Avg: -6.78, Max: 13.0, Best_avg: -4.11
 [1179]: 3.0, Avg: -5.00, Max: 13.0, Best_avg: -4.11
 [1189]: 4.0, Avg: -4.00, Max: 13.0, Best_avg: -4.00
 [1199]: -6.0, Avg: 3.33, Max: 13.0, Best_avg: 3.33
 [1209]: -11.0, Avg: -2.44, Max: 13.0, Best_avg: 3.33
 [1219]: -13.0, Avg: -2.11, Max: 13.0, Best_avg: 3.33
 [1229]: -1.0, Avg: -2.22, Max: 13.0, Best_avg: 3.33
 [1239]: -1.0, Avg: -6.11, Max: 13.0, Best_avg: 3.33
 [1249]: -8.0, Avg: -0.11, Max: 13.0, Best_avg: 3.33
 [1259]: 10.0, Avg: -4.22, Max: 13.0, Best_avg: 3.33
 [1269]: -6.0, Avg: -7.11, Max: 13.0, Best_avg: 3.33
 [1279]: -12.0, Avg: -3.00, Max: 15.0, Best_avg: 3.33
 [1289]: 4.0, Avg: -2.78, Max: 15.0, Best_avg: 3.33
